link,participants,quote,rank,rating,title
https://movie.douban.com/subject/1291571/,568508人评价,传说的开始。,57,9.0,指环王1：魔戒再现
https://movie.douban.com/subject/1296736/,381430人评价,音乐能化解仇恨。,58,9.2,钢琴家
https://movie.douban.com/subject/1306029/,553214人评价,爱是一切逻辑和原由。,59,9.0,美丽心灵
https://movie.douban.com/subject/1293350/,447662人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,60,9.1,两杆大烟枪
https://movie.douban.com/subject/1291843/,571445人评价,视觉革命。,61,9.0,黑客帝国
https://movie.douban.com/subject/1291818/,415798人评价,人生不能像做菜，把所有的料都准备好了才下锅。,62,9.1,饮食男女
https://movie.douban.com/subject/1292224/,437611人评价,自由万岁。,63,9.1,飞越疯人院
https://movie.douban.com/subject/1485260/,721766人评价,在时间之河里感受溺水之苦。,64,8.9,本杰明·巴顿奇事
https://movie.douban.com/subject/1309046/,772094人评价,一张面具背后的理想与革命。,65,8.9,V字仇杀队
https://movie.douban.com/subject/3742360/,1177440人评价,你给我翻译翻译，神马叫做TMD的惊喜。,66,8.8,让子弹飞
https://movie.douban.com/subject/26580232/,855816人评价,你以为你以为的就是你以为的。,67,8.8,看不见的客人
https://movie.douban.com/subject/27060077/,1113048人评价,去除成见，需要勇气。,68,8.9,绿皮书
https://movie.douban.com/subject/1292402/,712203人评价,美丽无罪。,69,8.9,西西里的美丽传说
https://movie.douban.com/subject/1303021/,292699人评价,奔跑的孩子是天使。,70,9.2,小鞋子
https://movie.douban.com/subject/1292849/,468028人评价,美利坚精神输出大片No1.,71,9.0,拯救大兵瑞恩
https://movie.douban.com/subject/3442220/,289194人评价,海豚的微笑，是世界上最高明的伪装。,72,9.3,海豚湾
https://movie.douban.com/subject/25958717/,290152人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,73,9.2,海蒂和爷爷
https://movie.douban.com/subject/1292220/,662161人评价,暗恋的极致。,74,8.9,情书
https://movie.douban.com/subject/3008247/,362775人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,75,9.1,穿条纹睡衣的男孩
https://movie.douban.com/subject/1294408/,436026人评价,用音乐化解仇恨，让歌声串起美好。,76,9.0,音乐之声
https://movie.douban.com/subject/1292262/,306384人评价,往事如烟，无处祭奠。,77,9.2,美国往事
https://movie.douban.com/subject/1780330/,619777人评价,孪生蝙蝠侠大战克隆金刚狼。,78,8.9,致命魔术
https://movie.douban.com/subject/1291832/,609801人评价,故事的高级讲法。,79,8.8,低俗小说
https://movie.douban.com/subject/1292223/,714785人评价,警察抓小偷，老鼠玩死猫。,80,8.8,七宗罪
https://movie.douban.com/subject/1293544/,616023人评价,安东尼·霍普金斯的顶级表演。,81,8.8,沉默的羔羊
https://movie.douban.com/subject/1292343/,680167人评价,人的命运被自己瞬间的抉择改变。,82,8.8,蝴蝶效应
https://movie.douban.com/subject/2334904/,684451人评价,昔日翩翩少年，今日大腹便便。,83,8.8,禁闭岛
https://movie.douban.com/subject/1292656/,511760人评价,人生中应该拥有这样的一段豁然开朗。,84,8.9,心灵捕手
https://movie.douban.com/subject/1292679/,459380人评价,爱情纠缠，男女一致。,85,8.9,春光乍泄
https://movie.douban.com/subject/11525673/,645424人评价,小清新的故事里注入了大历史的情怀。,86,8.8,布达佩斯大饭店
https://movie.douban.com/subject/1787291/,547411人评价,以戏谑来戏谑戏谑。,87,8.9,被嫌弃的松子的一生
https://movie.douban.com/subject/1652587/,970246人评价,绝对意义上的美轮美奂。,88,8.7,阿凡达
https://movie.douban.com/subject/1294371/,203911人评价,大时代中的人生，小人物的悲喜。,89,9.3,摩登时代
https://movie.douban.com/subject/1292370/,819897人评价,浪漫忧郁的成人童话。,90,8.7,剪刀手爱德华
https://movie.douban.com/subject/1294639/,450927人评价,史诗大片的典范。,91,8.9,勇敢的心
https://movie.douban.com/subject/1302425/,686489人评价,我是一个演员。,92,8.7,喜剧之王
https://movie.douban.com/subject/1292215/,781673人评价,法式小清新。 ,93,8.7,天使爱美丽
https://movie.douban.com/subject/1297192/,576527人评价,最不可能的那个人永远是最可能的。,94,8.8,致命ID
https://movie.douban.com/subject/1298070/,645642人评价,约翰尼·德普的独角戏。,95,8.8,加勒比海盗
https://movie.douban.com/subject/3011235/,547345人评价,10年的完美句点。,96,8.8,哈利·波特与死亡圣器(下)
https://movie.douban.com/subject/1418834/,544668人评价,每个人心中都有一座断背山。,97,8.8,断背山
https://movie.douban.com/subject/1300299/,479167人评价,关于连环杀人悬案的集体回忆。,98,8.8,杀人回忆
https://movie.douban.com/subject/6985810/,260594人评价,人言可畏。,99,9.1,狩猎
https://movie.douban.com/subject/26799731/,466633人评价,沉醉在电影的情感和视听氛围中无法自拔。,100,8.9,请以你的名字呼唤我
https://movie.douban.com/subject/1297359/,400503人评价,人与自然的战争史诗。,101,8.9,幽灵公主
https://movie.douban.com/subject/1291875/,461671人评价,一场华丽的意淫。,102,8.8,阳光灿烂的日子
https://movie.douban.com/subject/25814705/,306767人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,103,9.0,小森林 夏秋篇
https://movie.douban.com/subject/10777687/,379515人评价,《我是山姆》的《美丽人生》。,104,8.9,7号房的礼物
https://movie.douban.com/subject/1291999/,582225人评价,寂寞没有期限。,105,8.7,重庆森林
https://movie.douban.com/subject/1297630/,397704人评价,深入内心的恐怖，出人意料的结局。,106,8.9,第六感
https://movie.douban.com/subject/2149806/,454027人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,107,8.8,入殓师
https://movie.douban.com/subject/1865703/,285122人评价,梦的勾结。,108,9.0,红辣椒
https://movie.douban.com/subject/25814707/,271072人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,109,9.0,小森林 冬春篇
https://movie.douban.com/subject/21318488/,654557人评价,年度最佳date movie。,110,8.7,消失的爱人
https://movie.douban.com/subject/1296339/,435468人评价,缘分是个连绵词，最美不过一瞬。,111,8.8,爱在黎明破晓前
https://movie.douban.com/subject/1292434/,258804人评价,我们都曾经是一一。,112,9.0,一一
https://movie.douban.com/subject/1297052/,335117人评价,少女情怀总是诗。,113,8.9,侧耳倾听
https://movie.douban.com/subject/1306249/,745169人评价,华太师是黄霑，吴镇宇四大才子之一。,114,8.6,唐伯虎点秋香
https://movie.douban.com/subject/5322596/,340335人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,115,8.9,超脱
https://movie.douban.com/subject/1297447/,527488人评价,两张绝世的脸。 ,116,8.7,倩女幽魂
https://movie.douban.com/subject/3395373/,519956人评价,诺兰就是保证。,117,8.8,蝙蝠侠：黑暗骑士崛起
https://movie.douban.com/subject/3072124/,336918人评价,你是我最好的朋友，你是我唯一的朋友 。,118,8.9,玛丽和马克思
https://movie.douban.com/subject/4268598/,543556人评价,没有一人完全善，也没有一人完全恶。,119,8.7,告白
https://movie.douban.com/subject/1305164/,380333人评价,相逢只要一瞬间，等待却像是一辈子。,120,8.8,甜蜜蜜
