company,method,position,post,salary,time
丽台（上海）信息科技有限公司,"1、负责公司软件产品的设计、选型、框架搭建、开发、部署、维护等工作；,2、负责与人工智能系统工程相关的需求的实现；,3、负责开发文档的编写，代码质量管理；,4、通过不断的技术研究和创新，推动公司业务的快速发展和高效迭代。, ,岗位要求：,1、计算机相关专业，大学本科及以上学历。有2年及以上开发工作经验优先，亦欢迎优秀应届毕业生；,2、精通Python语言和 Flask/Django等Web开发框架，能进行独立开发。具有良好的编程习惯和代码风格，能够撰写相关技术文档；,3、有前端（HTML、CSS、JavaScript等）开发经验，熟悉bootstrap、VUE等前端框架；,4、能熟练使用版本工具，如Git；,5、精通MySQL等常用数据库；,6、有大数据及人智能工作经验，了解Tensorflow、PyTorch等机器学习（深度学习）框架及Numpy、Pandas等科学计算及数据分析库；,7、善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神；,8、编码和团队协作能力强，能够独立支撑一个研究方向，勇于挑战和创新，工作主动性强。, ,工作时间：做五休二 早8:00-晚5:00（考虑到上海交通压力较大，每天有2小时弹性工作时间）,工作地点：上海市闵行区莲花路1978号E栋（9号线漕河泾开发区站）,公司爱惜人才，公司氛围佳，福利好，人性化管理，速投简历吧！",上海-徐汇区,Python工程师,1-2万/月,07-27
四维创智（北京）科技发展有限公司...,"技能要求:,1. 熟练使用Python,2. 熟悉渗透流程，了解owasp top 10等各种漏洞,3. 编写过渗透工具/渗透框架/poc/exp,加分项：,1. 阅读过各种开源渗透框架/渗透工具源码，w3af/msf/sqlmap/nmap等,2. 了解nodejs，使用puppeteer写过无界面爬虫,3. 了解各种反爬措施，并有应对方案,4. 给开源项目提交过代码,工作职责：,1. 更新维护现有的各个渗透工具以及渗透框架,2. 根据需求开发新的安全工具",北京-海淀区,Python安全研发工程师,1.5-2.5万/月,07-27
东莞市童程童美信息科技有限公司,"岗位职责：,1、根据教案进行备课，高质量的完成授课。,2、善于调动气氛，控场能力强，保证课堂授课顺利进行。,3、有较强的技术能力，能进行课程研发，开发满足课程需要的教案。,4、熟练软件编程理论和实践工具，精通JavaScript，HTML5，CSS，熟悉网页架构和布局，熟悉ajax，xml，json。,5、熟悉java基础知识，Android、C/C++等。,任职资格：,1、本科及以上学历；计算机专业优先；,2、表达能力好，亲和力强；有耐心、责任心。,加入达內，您的福利待遇：,该职位全职工作属于公司正式员工编制，一经录用将享有,1、保障薪奖: 入职报到享受优质的奖励机制 高底薪+丰厚提成,2、晋升管道畅通；,3、签订正式劳动合同，完整合规的社会保险和住房公积金以及餐补；,4、每季度员工聚会+员工生日会+节日礼物；,5、每年享受国家规定的带薪年假、法定节假日等福利；,6、丰富的企业文化活动，打造快乐活力的工作氛围,培训体系：,1、新人阶段：一对一带教+专业技能培训+丰富产品知识培训；,2、成长阶段：每周专业的课程培训+职业素养培训。,【童程童美】是美国纳斯达克上市公司达内教育集团（NASDAQ：TEDU）旗下的少儿教育品牌，凝聚15年编程教学经验，打造中国青少儿编程专业化先锋品牌。作为“研、教、营”一体的全国化运营品牌，目前学习中心已经遍及北京、上海、广州、天津、武汉等30多个城市，流动课堂走进了全国120多所中小学公立校，受到学校和家长的高度认可。,童程童美专注6-18岁青少儿编程以及相关的STEAM创客教育，形成了以少儿编程、少儿手机编程、智能机器人编程、编程数学、信息学奥赛等课程体系为核心，集国内外大型权威科技赛事、科技主题的国内外游学、冬夏令营、创客实验室搭建等为一体的青少儿教育平台。教学体系落实创新教育理念，强调学生综合能力的培养和实际解决问题能力的提升，在兴趣激发和思维锻炼的同时，传递前沿技术，帮助中国青少儿打造迎接未来世界的能力和思维视野。",惠州,少儿编程讲师+python乐高,1-1.5万/月,07-27
西安方向标人力资源管理有限公司,"工作职责：,1、主要负责外包派遣项目门户和交易网站前端和后端的开发和维护工作；,2、参与项目分析、系统方案设计；,3、配合测试人员修改测试中发现的问题。,任职要求：,1、大专以上学历；,2、熟悉MySQL/PostgreSQL/MongoDB数据库；,3、熟悉HTML5/CSS3/JavaScript/jQuery等WEB前端技术；,4、会使用React/Vue.js/Angular等任一前端开发框架优先考虑；,5、积极好学，责任感强，抗压能力好",贵阳,Python开发工程师,0.8-1万/月,07-27
荷锐会展服务（上海）有限公司,"1、负责大规模信息文本、图像等数据的抓取、结构化信息的提取与识别；,2、负责公司Python相关系统功能设计与开发；,3、负责Python相关数据库架构设计；,4、研究各种第三方服务API，和公司业务系统对接；,5、研发和维护业务逻辑组件，对前端提供稳定高性能的API。,岗位要求：,1、一年实战项目中Python开发的经验；,2、参与指标计算开发工作，能熟练运用Python解决业务需求，了解Python性能调优；,3、熟练运用SQL，熟悉主流数据库之一：Oracle、MSSQLSever、PostgreSQL、MySQL等主流关系型数据库，具备一定的SQL调优能力；,4、熟悉Mongodb等NoSQL数据库，有大数据开发经验；,5、使用过Django，能使用Django搭建后台服务，数据分析，分析算法；,6、具有良好学习能力、分析能力和独立解决问题的能力；,                                                    ,7、熟悉数据挖掘算法以及具备模型部署经验优先。",上海-闵行区,Python开发工程师,7-9千/月,07-27
嫚熙控股（广州）有限公司,"岗位职责：,1、负责分布式网络爬虫系统及数据库的设计与开发；,2、设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码等难点；,3、维护和优化已有的爬虫服务；,4、负责爬虫核心算法的策略优化研究，充分利用资源，提升网页抓取的效率和质量；,任职要求：,1、熟练使用Python，有良好的编码习惯；,2、熟悉Linux操作系统，熟练使用常用命令；,3、至少熟悉二种常用数据库：MSSQL必须熟悉 MongDB / Redis；,4、熟练使用 requests、urllib模块；,5、熟悉各种反爬机制和解决措施 (模拟请求头、设置 IP 代理、cookies, 字体反爬、js混淆加密等)；,6、精通网页抓取原理及技术、深度抓取、动态网页技术抓取、浏览器模拟抓取技术，从结构化的和非结构化的数据中获取信息；,7、熟悉Scrapy、Pyspider等主流爬虫框架使用；,8、能独立开发爬虫项目，具有自主解决问题能力。",广州,Python开发工程师,0.8-1.2万/月,07-27
上海沪万智能科技有限公司,"岗位职责：,    ,    ,岗位要求 ：,    ,    ,    ,    ,4、具备英文阅读能力,    ,个人特质要求：,    ,    ,    ,    ,    ,5、乐于学习与分享知识,    ,加分项目：,    ,    ,3、具备后端 Web API 的开发与能够独立进行数据库与 Web API 文挡撰写能力,4、具备底层硬件对接或是硬件二次开发能力（使用 SDK）,4、熟悉 Git 开发流程与工具的使用,    ,组内培训：,1、软件设计与开发",上海-长宁区,Python 应用开发工程师,0.7-1.3万/月,07-27
西安北斗安全技术有限公司,"职位描述：,1、负责项目Web后端的模块设计、功能开发和维护工作；,2、协助完成项目的测试、系统交付工作；,3、为团队引入创新的技术、创新的解决方案，用创新的思路解决问题；,4、完成上级安排的其它临时工作任务。,任职要求：,1、计算机相关专业本科以上学历,2、2年以上Python开发经验，熟悉django、flask等Python web开发框架，有良好的编程习惯,3、熟悉软件开发流程、体系结构，数据库开发（如Mysql、Mongo），能够独立进行核心算法的实现,4、熟悉ES6、CSS3、HTML5等前端相关技术,5、熟悉Windows\Linux平台环境下的开发部署，版本控制工具(svn/git),6、具有良好的团队合作精神，责任感，及分析以及解决问题能力,7、熟悉面向对象变成思想及常用的设计模式,8、有C/C++开发经验优先考虑。",西安-国家民用...,Python开发工程师,0.6-1万/月,07-27
信必优(深圳)信息技术有限公司,"本岗位要求英文口语流利，面试为纯英文面试。,应聘时请投递您的英文简历。,岗位职责：,负责金融交易平台开发和维护。（后端编程，非数据分析）,岗位要求：,1，作为全栈工程师，我们希望主开发语言是python，要熟悉Django、Tornado、Flask、Twisted。,2，英文口语流利。,3，全日制统招本科学历，python 或全栈开发经验有4年以上。,面试流程：线上面试（一轮）-offer。  ,工作时间：五天工作制，双休。无加班，按时上下班。   ,工作环境：国际化工作环境，工作氛围和管理风格很好。   ,工作地点：天河区石牌桥太古汇一座（地铁三号线石牌桥站）   ,福利：试用期薪资福利不打折，入职购买社保公积金，入职享受带薪年休假5天，年终奖（1 个月工资为基数），节日福利，每年涨薪机会等.,晋升机会：本岗位为外包岗位。工作满一年后有机会可转汇丰银行正编。",广州-天河区,python后端开发（英语）,1.6-2.5万/月,07-27
深圳市柠檬树科技有限公司,,深圳-龙岗区,Python工程师,1.2-1.5万/月,07-27
